name,description,type,status,date_created,country,volunteer_skills
Sudan: Floods - Jul 2024,"Initial reports indicate that an estimated 10,180 people, most of whom are newly arrived IDPs from Sennar State, have been affected by recent heavy rains and flooding in Kassala State. [...] Heavy rains and flooding have also affected an unspecified number of people and homes in Aroma, Shamal Al Delta, Reifi Kassala, and Gharb Kassala localities. [...] Floodwater reportedly submerged tents and water and sanitation (WASH) facilities, as well as roads. The majority of the affected IDPs have been forced to live in the open on the roadsides and they do not have access to food, clean drinking water, or safe sanitation facilities amid heightened concerns of a possible spike in water-borne diseases. ([OCHA, 28 Jul 2024](https://reliefweb.int/node/4081549))",Flood,alert,2024-07-29T05:13:06+00:00,Sudan,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Typhoon Gaemi - Jul 2024,"On 24 July, the combined effects of the Southwest Monsoon, enhanced by Tropical Cyclone Gaemi(local name: Carina), brought heavy to intense rains across the Philippines. Northern Luzon, particularly the provinces of Cagayan, Isabela, and Ilocos Norte, experienced severe impacts, while Central Luzon provinces Pampanga, Tarlac, and Nueva Ecija faced severe flooding and power outages. In Metro Manila, home to 13.5 million people, heavy rainfall caused urban flooding, road closures, and significant disruptions. By 10am local time, the water level in the Marikina River surpassed 18 meters, triggering mandatory evacuation of numerous families, with water levels reaching over 20.7 meters by 7pm. In one area in Quezon City, it was recorded that 458 mm of rain fell within a 24-hour period. In comparison, during Typhoon Ondoy in September 2009, the recorded rainfall over the same duration was 455 mm. Tropical cyclone Gaemi, which has intensified into a Super Typhoon, is expected to make landfall over northern Taiwan before exitingthe Philippine Area of Responsibility by noon on 25 July. Moderate to intense rainfall is still expected to continue over the western portion of Luzon until 26 July according to the Philippines weather agency PAGASA.  ([OCHA, 24 Jul 2024](https://reliefweb.int/node/4080598))

Super Typhoon Gaemi (local name Carina) has been downgraded to a typhoon as it crossed Taiwan and exited the Philippine Area of Responsibility (PAR) on 25 July. The storm, combined with the effects of the southwest monsoon, brought heavy rainfall to the western section of Luzon, including Metro Manila. Flooding incidents have been reported in Metro Manila and nearby provinces. Due to the intense amount of rainfall, floodgates were opened for Ipo and Binga dams located in Central and Northern Luzon respectively, which further contributed to flooding incidents. In addition, La Mesa Dam, located near Metro Manila, reached its spilling level, but has since returned to normal levels. Weather is expected to improve in the coming days, but the state weather bureau PAGASA reports heavy to intense rainfall is expected over the western portion of Luzon until 27 July. ([OCHA, 25 Jul 2024](https://reliefweb.int/node/4080991))

Tropical cyclone GAEMI made landfall on 25 July in the mid-morning (UTC) over the eastern coast of Fujian province as a tropical storm and is expected to move north-west over the province and dissipate over the Jiangxi province on 27 July. According to the media, in China, more than 240,000 people were temporarily evacuated in the province of Fujian and more than 5,000 rescuers were deployed in the cities of Fuzhou, Putian and Ningde, and Pingtan County. In Taiwan, three people died following its passage on 24 July. In the Philippines, more than 1.3 million people have been affected (in combination with the southwest monsoon) and over 800,000 have been displaced. ([ECHO, 26 Jul 2024](https://reliefweb.int/node/4081268))

Tropical cyclone GAEMI affected northern Philippines (22-23 July), northern Taiwan (24 July), and southeastern China (25 July), causing casualties and damage. Taiwan reported ten fatalities, while in China 15 died in a Hunan province landslide, and 3,832 were evacuated due to a river dike breach. In the Philippines, the Department of Social Welfare and Development of the Philippines (DSWD) reports 273,757 displaced, 3,617,365 affected across 11 regions (particularly in northern Philippines) and 1,256 houses damaged or destroyed. ([ECHO, 29 Jul 2024](https://reliefweb.int/node/4081721))

Typhoon Gaemi has brought significant flooding and destruction across nine provinces in China, severely affecting Henan, Hunan, Jilin, Liaoning, and Yunnan provinces. In Henan Province, the typhoon resulted in the deaths of four individuals, with three others reported missing, and affected approximately 87,000 people. In Liaoning Province, more than 14,500 residents were relocated following an orange alert, indicating a high risk of severe weather. In response to the impending heavy rainfall and potential flooding, the State Flood Control and Drought Relief Headquarters activated a Level-IV emergency response for the Beijing-Tianjin-Hebei region on 29 July. To bolster local relief efforts, the Ministry of Emergency Management (MEM) deployed uncrewed aerial vehicles to Hunan Province and allocated disaster relief materials valued at 4.41 million yuan (approximately USD 618,000) to Liaoning Province. These efforts aim to assist in monitoring the situation and providing immediate relief to affected populations. 

[...] The combined effects of the southwest monsoon and Tropical Cyclone Gaemi (local name Carina) have brought heavy to intense rainfall across the Philippines, affecting over 4.8 million people nationwide. The National Disaster Risk Reduction and Management Council (NDRRMC) reports 39 fatalities (14 confirmed and 25 under validation), nine injuries, and six people missing. Approximately 108,000 people are currently displaced and housed in 557 evacuation centers. The disaster has caused significant damage, with infrastructure losses estimated at USD 73.4 million (PHP 4.3 billion) and agricultural damages amounting to USD 9.4 million (PHP 552 million), affecting 23,500 farmers and fisherfolk. In response, the Government of the Philippines is leading coordination efforts, supporting families in evacuation centers and initiating early recovery actions. Over 100 cities and municipalities have declared a state of calamity, enabling access to disaster funds. The Department of Social Welfare and Development and other national agencies have distributed approximately USD 5.44 million (PHP 319 million) in aid to the affected areas. ([OCHA, 31 Jul 2024](https://reliefweb.int/node/4082513))",Tropical Cyclone,alert,2024-07-24T14:13:44+00:00,"China, China - Taiwan Province, Philippines","Emergency management, Evacuation coordination, Storm tracking, Public safety, Infrastructure protection"
Ethiopia: Landslides - Jul 2024,"Heavy rains on 21 and 22 July caused three successive landslide incidents in a mountainous area in Gezei Gofa Woreda of Gofa Zone, South Ethiopia Region, according to local authorities. At least 157 people have reportedly died and more than 14,000 people affected, including 6,750 people in Koncho Gozji Kebele and 7,765 people in Koncho Wiza Kebele as of the morning hours of 23 July. [...] Search and rescue operations are ongoing, under the leadership of local authorities with the support from the Ethiopian Red Cross and community members. The death toll is expected to rise, according to local authorities. A similar, but lower-scale landslide incident had occurred in May 2024 in the same area, where more than 50 people had died. Weather extremes, such as floods and droughts, have been major drivers of humanitarian needs in Ethiopia. The scale of the impact of the incident, including displacement and damages to livelihoods, will be further clarified once the planned multi-agency assessment is completed. ([OCHA, 23 Jul 2024](https://reliefweb.int/node/4080323))

The death toll continues to rise after the landslides triggered by heavy rainfall that occurred on 21-22 July in Gezei Gofa Woreda of Gofa Zone (South Ethiopia Region, south-western Ethiopia). According to media, at least 229 people have died while the Ethiopian Broadcasting Corporation (EBC) reports 600 people have been displaced due to the events. ([ECHO, 25 Jul 2024](https://reliefweb.int/node/4080921))",Land Slide,ongoing,2024-07-24T01:47:07+00:00,Ethiopia,"Geological surveys, Debris removal, Public information, Emergency response, Road clearance"
Burkina Faso: Floods - May 2024,"Since April, there have been floods in several parts of the country, the worst of which occurred in Boulsa in the province of Namentenga, in the Centre-Nord region.
On the night of 29 May 2024, the town of Boulsa was hit by torrential rain between 8pm and 10pm. The rain, accompanied by strong winds, caused extensive material damage and loss of life (07 deaths, including 3 children under the age of 10 and 2 adults, a 35-year-old woman and a 50-year-old man, and 42 injured people treated in the various health centres. Two children under the age of 15 were evacuated to Ouagadougou for more appropriate care.
According to initial reports, as of 07 June, more than 1,000 households had been affected. This has been confirmed by the current registration, which shows a provisional total of more than 1,147 households, or 7,648 people affected, and 925 houses either completely or partially destroyed.
Burkina Faso is a country vulnerable to extreme rainfall and flooding, with major humanitarian consequences. Every year during the rainy season, thousands of people are affected. The country has in-country response capacity, but support remained needed. Official data from Department of Humanitarian Affairs (DHA) received on 13 June 2024 indicates the affected households that required assistance and local Government expressed their request for support to the NS. ([IFRC, 22 Jul 2024](https://reliefweb.int/node/4079946))",Flood,ongoing,2024-07-22T20:27:39+00:00,Burkina Faso,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Guatemala: Floods - Jul 2024,"Following the heavy rainfall due to the rainy season that has been affecting several departments of Guatemala since June, the humanitarian impact is increasing. As of 18 July, the National Coordination for Disaster Reduction of Guatemala (CONRED) reports 18 fatalities across eight departments, including three in San Marcos, three in Jutiapa and three in Sacatepéquez, 13 injured people, 18,269 evacuated people, of whom 713 in evacuation centres. In addition, 6,897 houses have been damaged, 358 houses have been severely damaged, five bridges have been destroyed and 40 have been affected. ([ECHO, 18 Jul 2024](https://reliefweb.int/node/4079014))

On 22 July 2024, the National Coordinator for Disaster Reduction published updated information on the rainy season in the country. As of 22 July, 7,843 people were directly impacted (671 increase since the 16 July report), 21,072 people were evacuated (2,943 increase), 731 people are in shelters, and 13 people are reported as injured due to the severe weather. Additionally, 366 homes were severely damaged (10 increase) and 6,745 homes were moderately damaged (628 increase). ([PAHO, 22 Jul 2024](https://reliefweb.int/node/4080240/))",Flood,alert,2024-07-18T11:00:56+00:00,Guatemala,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Niger: Floods - Jun 2024,"As of 11 June, 26 communes across Niger have been affected by heavy rainfall and floods. The worst affected communes include 15 in Maradi in the south-central part of the country, five in Tahoua in the west, three in Tillabéri in the southwestern, two in Zinder in the south-centre, and one in Agadez in the north. According to UN OCHA, 18 people died, almost 4,000 people were affected, 329 houses were damaged and eight schools were destroyed. ([ECHO, 19 Jun 2024](https://reliefweb.int/node/4071456))",Flood,alert,2024-07-18T06:55:04+00:00,Niger,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Myanmar: Cholera Outbreak - May 2024,"The military-controlled Ministry of Health has confirmed the presence of cholera in Yangon in an official statement. As of 17 July, there are 77 confirmed cases of hospitalisation. According to other reports, cholera cases have also been identified in Rakhine, Chin and East Bago regions, with local media reporting over 240 hospitalisations. The World Health Organization (WHO) is providing training to local health workers, while the in-country water, sanitation and hygiene (WASH) humanitarian cluster has a response plan that includes a rapid response team, capacity building, water supply and provision of non-food items (NFIs). Rapid assessment is partially hindered by ongoing conflict and access restrictions across the country. DG ECHO is assessing the situation and possible response together with humanitarian partners. ([ECHO, 17 Jul 2024](https://reliefweb.int/node/4078742))",Epidemic,alert,2024-07-17T12:24:57+00:00,Myanmar,"Disease surveillance, Public health education, Vaccination campaigns, Epidemiological tracking, Quarantine management"
Colombia: Floods - Apr 2024,"Since April 21, 2024, communities in the La Mojana subregion have faced heavy rains that have affected their daily lives. The leaks in the Jarillón Cara de Gato work, completed in February, increased the water levels in the pipes and swamps. On May 6, the Jarillón ruptured again, followed by the Jarillón Los Arrastres rupture on May 8. These breaks, together with the rainy season, have affected 38,854 people (12,995 families) in the communities of San Jacinto del Cauca (Bolívar), Guaranda, Sucre, Majagual, San Benito Abad, San Marcos, Caimito (Sucre) and Ayapel (Cordova).  ([OCHA, 16 Jul 2024](https://reliefweb.int/node/4078473))",Flood,alert,2024-07-16T18:15:55+00:00,Colombia,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Liberia: Floods - Jun 2024,"According to Liberia’s National Disaster Management Agency (NDMA), recent unprecedented floods in Liberia have killed two people and displaced nearly 50,000. The torrential rains on 28 June displaced 8,000 people, and severely damaged homes, schools, and hospitals in Montserrado, Margibi, and Grand Bassa counties, according to a NDMA official. The NDMA has called for international support, with a USD 10 million requirement for emergency relief. With the rainy season far from over, an estimated 100,000 people remain at risk of flooding, storms, and coastal erosion, with heightened health risks anticipated. ([OCHA, 16 Jul 2024](https://reliefweb.int/node/4078479/))

A joint assessment conducted by the NDMA, local community structures, and the Liberian Red Cross Community-Based Action Teams (CBATs) reported that 47 communities in Monrovia have experienced flooding over the last three days. Cape Mount and Bong counties reported 28 affected communities and villages. [...] The Liberia Meteorological Department has predicted continuous rains between May and September 2024 across six counties: Montserrado, Bomi, Cape Mount, Margibi, Grand Bassa, and Maryland (coastal). The affected populations have lost valuable household items and are exposed to risks of disease outbreaks, loss of habitat (sheltering opportunities), livelihood mechanisms, and water source pollution. About 68% of the affected people are women, children, and other vulnerable groups, including the physically challenged and single mothers, who are seeking shelter in temporary facilities (public and private buildings) and with neighbours and relatives in adjacent unflooded communities. ([IFRC, 17 Jul 2024](https://reliefweb.int/node/4078760/))",Flood,ongoing,2024-07-16T16:45:40+00:00,Liberia,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
India: Floods and Landslides - Jul 2024,"Indian Meteorological Department (IMD) issues active monsoon warning with heavy to very heavy rainfall warning over Northwest, East & Northeast India during next 4- 5 days. In Assam, as per the Assam State Disaster Management Authority (ASDMA) report, major river Brahmaputra is flowing above the flood level due to heavy rain. 19 districts are affected with floods, with more than 640,000 population affected. ASDMA has opened 72 relief camps and 64 centers and managing the immediate needs. ([ECHO, 2 Jul 2024](https://reliefweb.int/node/4074601))

Heavy rainfall, thunderstorms and lightning have affected north-western India, in particular the Uttar Pradesh state, on 9-10 July, causing severe weather-related incidents that have resulted in casualties and damage. According to media, as of 13 July, 38 people died due to lightning strikes, including 11 in Pratapgarh, seven in Sultanpur, six in Chandauli, five in Mainpuri, four in Prayagraj, and one each in Auraiya, Deoria, Hathras, Varanasi and Siddharthnagar districts in south-eastern Uttar Pradesh. In addition, 20 people have been injured. ([ECHO, 15 Jul 2024](https://reliefweb.int/node/4077953))

Heavy rainfall, thunderstorms and lightning continue to affect north-western India, in particular the Uttar Pradesh state. As of 15 July, the National Coalition of Humanitarian, Development and Resilience Actors in India report 54 fatalities, 250,000 displaced people and 1.8 million affected people across 923 villages in 16 districts. In addition, media report that the water levels of the Rapti River in Gorakhpur, Budhi Rapti River in Siddharth Nagar, and Quono River in Gonda are above the danger threshold. ([ECHO, 18 Jul 2024](https://reliefweb.int/node/4079012/))

Cloudburst on July 25 causes heavy rainfall and flooding across parts of India, including Maharashtra, Gujarat, Andhra Pradesh, and Himachal Pradesh. Casualties reported include three in Gujarat, four in Maharashtra, with media indicating higher numbers: 49 in Himachal Pradesh and 61 in Gujarat since June 2024. National Disaster Management Department records 464,532 people affected and 3,638 houses damaged as of July 24. State Governments lead search and rescue efforts, seeking additional relief support. ([ECHO, 26 Jul 2024](https://reliefweb.int/node/4081270))

On 30 July, a series of landslides triggered by the monsoon rainfall occurred in the Wayanad district (Kerala state, southern India) and resulted in casualties and damage. According to media, at least 41 people have died, 70 others have been injured and a bridge has been destroyed. In addition, the landslides have cut off at least four villages, including Mundakkai, Chooralmala, Attamala, and Noolpuzha. ([ECHO, 30 Jul 2024](https://reliefweb.int/node/4082099))

[...] Media reports confirm that at least 123 people lost their lives, while 70 others sustained injuries. [...]  In response, authorities have initiated relief operations, including the deployment of two Indian Air Force helicopters to assist in rescue and relief efforts. The situation remains critical, with heavy rainfall forecasted to continue across most parts of Kerala for the next 24 hours. ([OCHA, 31 Jul 2024](https://reliefweb.int/node/4082513))

The humanitarian impact is increasing after a series of landslides triggered by the monsoon rainfall that occurred in the Wayanad district (Kerala state, southern India) on 30 July. The affected villages in the district are Mundakkai, Chooralmala, Attamala, and Noolpuzha villages, with the most significant impact observed in Mundakai and Chooralmala. According to SPHERE India, as of 30 July, 270 people died, 378 are still missing, 214 have been injured and more than 8,500 people have been evacuated in 85 relief camps. ([ECHO, 1 Aug 2024](https://reliefweb.int/node/4082980))",Flood,ongoing,2024-07-11T23:32:58+00:00,India,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Myanmar: Floods - Jul 2024,"Since 30 June, continuous heavy rain and swollen rivers have caused flash floods in Kachin State, impacting several townships, including the state capital, Myitkyina. In Bhamo Township, approximately 3,500 people have been displaced to nine evacuation sites. In Sumprabum Township, riverbank collapses have destroyed houses, water erosion has damaged parts of the road, and landslides have affected the road between Myitkyina and Puta-O. The flood-affected population has received food, water, and other assistance from the de facto authorities and partners. On 5 July, partners conducted a rapid needs assessment at 26 sites. ([OCHA, 9 Jul 2024](https://reliefweb.int/node/4076439))

Amid the ongoing conflict in many parts of the country, Myanmar continues to grapple with flooding during the monsoon season. Since the end of June, low-lying areas along various rivers, especially Ayeyarwady and Chindwin, have been affected. In the northwest, more than 15 townships in Magway, Mandalay and Sagaing have been affected, with an estimated 118,000 people being temporarily evacuated to safer places since the beginning of July. Sagaing has been the hardest hit, with at least 11 townships flooded, followed by Mandalay, which had four townships affected. In Kachin, approximately 37,000 people in several townships were also temporarily evacuated due to the flash flooding on 30 June. Most of the flood-affected population in Myitkyina and Waingmaw townships have returned home as water levels have receded. Immediate lifesaving assistance was provided by humanitarian partners and local authorities in Kachin and in the northwest. ([OCHA, 16 Jul 2024](https://reliefweb.int/node/4078287))",Flood,ongoing,2024-07-09T01:42:49+00:00,Myanmar,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Pakistan: Floods and Landslides - Jun 2024,"Heavy rain and thunderstorms hit parts of Punjab Province, eastern Pakistan on 5 June, causing severe weather-related incidents and resulting in casualties and damage. According to media, at least six people died, of whom four in Gujranwala District and two in Khushab District, north-eastern Punjab, due to severe weather-related incidents and 40 others have been injured, most of them (30) in Narowal District. ([ECHO, 7 Jun 2024](https://reliefweb.int/node/4068517))

Heavy rainfall and strong winds have been affecting north-western Pakistan, in particular the Khyber Pakhtunkhwa Province since 24 June, causing a number of severe weather-related incidents that have resulted in casualties and damage. The Provincial Disaster Management Authority (PDMA) reports, as of 27 June, two fatalities, three injured persons and two damaged houses across the Bannu and the Karak districts, Khyber Pakhtunkhwa province.  ([ECHO, 27 Jun 2024](https://reliefweb.int/node/4073392))

The pre-monsoon rains lashed parts of Baluchistan over the weekend. Eight people died, dozens injured, and more than 300 mud houses collapsed.
The landslide between Danasar and Dera Ismail Khan blocked the major highway suspending traffic. The rains started on 28 June and continued over the weekend in Zhob, Sherani, Qila Saifullah, Barkhan, Musakhail, Dera Bugti, and Loralai areas of the province. Pakistan Meteorological Depart­ment (PMD) predicts more rain-windstorm/thundershower likely at isolated places in Zhob, Musa Khel, Qila Saifullah, Loralai, Barkhan, Khuzdar, Awaran, Lasbella and coastal areas of Makran during evening/night. ([ECHO, 1 Jul 2024](https://reliefweb.int/node/4074247))

The monsoon season has been hitting parts of the country, particularly Sindh province where in the past 24 hours two people have died due to severe weather-related incidents. According to the National Disaster Management Authority of Pakistan (NDMA), since 1 July a total of seven people have died, six in Sindh and one in Balochistan due to flash floods and severe weather events, six people have been injured and 15 houses have been damaged. ([ECHO, 4 Jul 2024](https://reliefweb.int/node/4075339))

The monsoon season continues to hit parts of the country, particularly the Punjab and Khyber Pakhtunkhwa provinces, where in the past 24 hours, nine people have died and 22 others have been injured. According to the National Disaster Management Authority of Pakistan (NDMA), as of 14 July, a total of 40 people have died, of whom 24 in Punjab, seven in Khyber Pakhtunkhwa, six in Sindh and two in Balochistan due to flash floods and severe weather events. ([ECHO, 15 Jul 2024](https://reliefweb.int/node/4077955))",Flood,alert,2024-07-05T05:51:22+00:00,Pakistan,"Flood response, Water purification, Shelter management, Supply distribution, Rescue operations"
Hurricane Beryl - Jun 2024,"Tropical cyclone Beryl has become a major hurricane forecast to bring life-threatening winds and storm surge to the Caribbean, according to the National Hurricane Center. The hurricane headed toward the Windward Islands (Saint Lucia, Saint Vincent and the Grenadines, Grenada and Martinique). On 29 June evening, Beryl was about 960 km/h east-southeast of Barbados with maximum sustained winds of near 136 km/h, moving west at around 30 km/h. Maximum sustained winds of 129 – 177 km/h or greater, rainfall accumulations of 100 to 150mm, very rough and hazardous marine conditions and storm surges are expected across St. Vincent and the Grenadines, with possible higher winds offshore. Large and destructive waves/swells are likely to cause life-threatening surf and rip currents. The government of St Vincent and the Grenadines has urged the population to gather emergency supplies. Shelters are to be accessible by 6 p.m. local time today. Volunteers are active in their various communities, checking the vulnerable population and assisting families preparing for the event. ([ECHO, 30 Jun 2024](https://reliefweb.int/node/4073987))

Hurricane Beryl, the earliest hurricane to reach category five intensity in the Atlantic Ocean, has caused unprecedented devastation across the Caribbean, making its destructive path through Saint Vincent and the Grenadines, Grenada, Dominica, Barbados, and Jamaica...The storm first impacted Barbados, causing severe damage to the south coast and significantly affecting the fishing industry, with over 200 fishing vessels damaged or destroyed. In Saint Vincent and the Grenadines, 90 percent of infrastructure has been damaged, including houses, roads, and the airport terminal on Union Island. Communication with the Southern Grenadines remains disrupted, and access to basic services is still limited...While in Grenada, Beryl made landfall in Carriacou as a Category 4 hurricane, damaging 95 percent of homes in Carriacou and Petite Martinique. ([IFRC, 4 Jul 2024](https://reliefweb.int/node/4075316))

According to the 5 July Government Gazette, the parishes of Saint Patrick, Carriacou and Petite Martinique have been declared disaster zones from 1 July to 30 September 2024. The Damage and Needs Assessment (DANA) team confirmed that all data for Grenada should be finalized by 16 July. Currently, only the assessment for St. David is pending completion. Road blockages and assessment fatigue among residents are causing delays. The full extent of damage in Mayreau and Canouan remains unknown due to telecommunication issues, but similarly severe damage is expected. Bequia in the northern Grenadines sustained less damage. As Mayreau is far from the mainland, it is accessible only by a two-hour boat trip from St. Vincent. Although some aid is expected to trickle in from nearby islands, needs are widespread, and the aid is only guaranteed for the short term. An estimated 1,000 people remain in public shelters, a figure that does not account for those in private homes. ([OCHA, 9 Jul 2024](https://reliefweb.int/node/4076720))
### Appeals & Response Plans

- [![IFRC: Jamaica | Hurricane Beryl Emergency Appeal National Society Response Plan (MDRS2001) - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/2f/2c/2f2c11df-f09c-4a7a-90f4-d802d2319099.png) IFRC: Jamaica | Hurricane Beryl Emergency Appeal National Society Response Plan (MDRS2001)](https://reliefweb.int/node/4082330)
- [![OCHA: Regional Overview and Planned Response: Hurricane Beryl, July - December 2024 (Issued 9 July 2024) - Cover preview](https://reliefweb.int/sites/default/files/styles/small/public/previews/d1/50/d150f8e5-1325-462b-9530-7aa3c21b542c.png) OCHA: Regional Overview and Planned Response: Hurricane Beryl, July - December 2024 (Issued 9 July 2024)](https://reliefweb.int/node/4076723)",Tropical Cyclone,ongoing,2024-07-01T04:20:14+00:00,"Barbados, Dominican Republic, Grenada, Haiti, Jamaica, Mexico, Saint Lucia, Saint Vincent and the Grenadines, Trinidad and Tobago, Venezuela (Bolivarian Republic of)","Emergency management, Evacuation coordination, Storm tracking, Public safety, Infrastructure protection"
